FILIAL;CODIGO;NCM;DESCRICAO;PRECO;UND
08.393.837/0001-50;774;84818099;TORNEIRA TANQUE MAQUINA PLUS;25;UND
08.393.837/0001-50;773;84818099;TORNEIRA TANQUE MAUINA PRATICA;25;UND
08.393.837/0001-50;1503;73084000;TRELIÇA ;4.5;MT
08.393.837/0001-50;1121;90178010;TRENA 5M;8.5;UND
08.393.837/0001-50;1203;90178010;TRENA COM TRAVA 5M IRWIM;15;UND
08.393.837/0001-50;1204;90178090;TRENA COM TRAVA 5MX16MM THOMPSON;8.5;UND
08.393.837/0001-50;480;90178010;TRENA EMBORRACHADA 5MX19MM HAMMER;9;UND
08.393.837/0001-50;669;96034090;TRINCHA 1POL ATLAS/CONDR ;2;UND
08.393.837/0001-50;718;96034090;TRINCHA DE 2 POLEGADAS;2.5;UND
08.393.837/0001-50;717;96034090;TRINCHA DE 3/4;1.5;UND
08.393.837/0001-50;705;39174090;TUBO DE 50MM SOLDAVEL KRONA/TECTUBO;8.5;UND
08.393.837/0001-50;927;73063000;TUBO DE ANTENA 3/4;16;UND
08.393.837/0001-50;490;39172300;TUBO DE ESGOTO 50MM KRONA ;4.3;M
08.393.837/0001-50;380;39172300;TUBO D'GUA 1/2 TECTUBO/KRONA/TIGRE;1.5;METRO
08.393.837/0001-50;848;39172300;TUBO ESG 100MM KRONA;8.5;METRO
08.393.837/0001-50;1110;39172300;TUBO ESG 150MM;21;UND
08.393.837/0001-50;845;39172300;TUBO ESG 40MM KRONA;3;METRO
08.393.837/0001-50;846;39172300;TUBO ESG 50MM KRONA;4.3;METRO
08.393.837/0001-50;847;39172300;TUBO ESG 75MM KRONA;7.5;METRO
08.393.837/0001-50;657;39172300;TUBO ESGOTO 40MM  TECTUBO/KRONA;3;UND
08.393.837/0001-50;659;39172300;TUBO ESGOTO 50MM TECTUBO/KRONA ;4.3;METRO
08.393.837/0001-50;491;39172300;TUBO ESGOTO 75MM TECTUBO ;7.5;M
08.393.837/0001-50;658;39172300;TUBO ESGOTO100MM TECTUBO/KRONA ;8.5;METRO
08.393.837/0001-50;1176;39172300;TUBO P/CAIXA DE DESCARGA GANPLAST;9;UND
08.393.837/0001-50;1357;39172300;TUBO PVC ESGOTO PRIM. 6M - DN 100 ;8.5;MET
08.393.837/0001-50;1358;39172300;TUBO PVC ESGOTO PRIM. 6M - DN 150;20;MET
08.393.837/0001-50;1360;39172300;TUBO PVC ESGOTO PRIM. 6M - DN 150 KRONA;20;MET
08.393.837/0001-50;1356;39172300;TUBO PVC ESGOTO PRIM. 6M - DN 75 KRONA;7.5;MET
08.393.837/0001-50;1355;39172300;TUBO PVC ESGOTO PRIM.6M - DN 50 KRONA;45;UND
08.393.837/0001-50;1348;39172300;TUBO PVC SOLDAVEL 6 M - 25MM KRONA ;15;UND
08.393.837/0001-50;1347;39172300;TUBO PVC SOLDAVEL 6M - 20MM KRONA;9;UND
08.393.837/0001-50;1349;39172300;TUBO PVC SOLDAVEL 6M - 32MM KRONA ;18;UND
08.393.837/0001-50;1351;39172300;TUBO PVC SOLDAVEL 6M - 40 MM KRONA;42;UND
08.393.837/0001-50;1352;39172300;TUBO PVC SOLDAVEL 6M - 50MM KRONA ;51;UND
08.393.837/0001-50;841;39172300;TUBO SOLD 25MM TEC TUBOS;2.3;METRO
08.393.837/0001-50;842;39172300;TUBO SOLD 32MM TEC TUBO;3;METRO
08.393.837/0001-50;843;39172300;TUBO SOLD 40MM TEC TUBO;7;METRO
08.393.837/0001-50;844;39172300;TUBO SOLD 50MM TEC TUBO;8.5;METRO
08.393.837/0001-50;839;39172300;TUBO SOLD PVC 20MM TEC TUBO;0;
08.393.837/0001-50;492;39172300;TUBO SOLDAVEL 20MM TECTUBO ;1.5;M
08.393.837/0001-50;493;39172300;TUBO SOLDAVEL 25MM TECTUBO;2.3;M
08.393.837/0001-50;751;39172300;TUBO SOLDAVEL 3/4 (METRO);2.3;UND
08.393.837/0001-50;655;39172300;TUBO SOLDAVEL DE 1/2  TECTUBO/KRONA;1.5;METRO
08.393.837/0001-50;656;39172300;TUBO SOLDAVEL DE 3/4 TECTUBO/KRONA;2.3;METRO
08.393.837/0001-50;840;39172300;TUDO SOLD 20MM;1.5;METRO
08.393.837/0001-50;1324;39174090;UNIAO SOLD 20MM KRONA ;4;UND
08.393.837/0001-50;1325;39174090;UNIAO SOLD 25MM KRONA;5;UND
08.393.837/0001-50;1035;39174090;VALVULA PARA PIA KRONA ;2.5;UND
08.393.837/0001-50;1034;39174090;VALVULA PARA TANQUE, LAVATORIO  KRONA;2.5;UND
08.393.837/0001-50;1525;84818011;VALVULA PIA;18;UND
08.393.837/0001-50;494;84813000;VALVULA POÇO CRIVO ROSC PVC 3/4 HIGIBAN;15;UND
08.393.837/0001-50;1431;73043990;VARÃO DE CORTINA ALPHA 1,5;15;UND
08.393.837/0001-50;1432;73043990;VARÃO DE CORTINA ALPHA 2,OO;20;UND
08.393.837/0001-50;972;82013000;VASSOURA DE JARDIM 18 ARAMES REGULAGEM COLINS;16;UND
08.393.837/0001-50;1087;84149039;VEDA ANEL PUVETEC;7.5;UND
08.393.837/0001-50;1128;38244000;VEDA CALHA MUNDIAL PRIME 300 ML;14;UND
08.393.837/0001-50;1072;39209990;VEDA ROSCA POLYFITA;2.5;UND
08.393.837/0001-50;1073;39209990;VEDA ROSCA POLYFITA 12MMX10;1.2;UND
08.393.837/0001-50;671;39209990;VEDA ROSCA POLYFITA PTFE 100% PURO;1.2;UND
08.393.837/0001-50;520;32100010;VERNIZ IPE 0,9L FORTNIL SCAGEM EXTRARAPIDA;15;UND
08.393.837/0001-50;518;32100010;VERNIZ SINTETICO CEREJEIRA FORTNIL 0,9L;15;UND
08.393.837/0001-50;515;32100010;VERNIZ SINTETICO CEREJEIRA HIDROTINTA SECAGEM EXTRA RAPIDA ;17;UND
08.393.837/0001-50;516;32100010;VERNIZ SINTETICO HIDROTINTAS SECAGEM EXTRA RAPIDA ;17;UND
08.393.837/0001-50;665;68109100;VIRGA 1,00;11.5;UND
08.393.837/0001-50;1093;68109100;VIRGA 2,OO MT;23;UND
08.393.837/0001-50;1055;68109100;VIRGA DE 1,20 METRO;13.8;UND
08.393.837/0001-50;1058;68109100;VIRGA DE 1,50 METRO;17.25;UND
08.393.837/0001-50;1094;68109100;VIRGA DE 2,5;42.5;UND
08.393.837/0001-50;1095;68109100;VIRGA DE 3,00 MT;66;UND
08.393.837/0001-50;1096;68109100;VIRGA DE 3,50 MT;77;UND
08.393.837/0001-50;1036;38249941;WHITE LUB;7.5;UND
